Original File,Chunk Number,Featured Wave,is Filler
batman_filler.wav,0,"[[ 2.18059327e+01 -4.35818176e-01 -4.66358338e-02 -7.49374192e-02]
 [-8.09451590e+00 -7.25077975e-01 -4.79348765e-03 -2.33040147e-01]
 [-7.31509111e-01  1.16419100e+00  1.17136232e-01 -6.88063278e-02]
 [-4.69170131e+00 -6.00029228e-01 -3.84276248e-01  2.43045255e-02]
 [-1.76173199e+00 -2.62111063e-01  5.75481517e-01 -1.48165740e-02]
 [-1.04804153e+00  2.51855875e-01 -1.07615750e-01 -2.96480328e-01]
 [-3.10861065e-01  7.77198231e-01 -4.08437881e-02  1.99557643e-01]
 [-8.56965754e-01  5.64823550e-01 -1.56473954e-01 -2.56100746e-02]
 [-1.13397058e+00 -4.69968661e-01 -2.07501367e-03  3.14019791e-01]
 [-3.15169011e-02 -4.59819041e-02  2.40767529e-01 -4.73261575e-02]
 [-7.17667753e-01 -3.91181017e-03 -7.24397919e-02  1.67585916e-01]
 [ 3.05624214e-01  6.71325195e-01 -3.18720289e-02  6.72352440e-03]
 [ 1.60531215e-01  2.66606518e-01  9.29967798e-03 -1.35628296e-01]
 [-1.25672239e+00 -9.81967167e-01  6.81490069e-02  2.04362742e-02]
 [-4.95701740e-01 -2.30953407e-01 -4.37431233e-02 -2.23943222e-02]
 [-1.91691232e-01  1.12383249e-01 -1.27228602e-01 -6.92657732e-02]
 [-6.97063342e-02 -1.83835708e-02 -2.77269736e-02  3.80465057e-02]
 [-7.18399221e-01 -1.51862023e-01 -2.37680863e-02 -5.21467553e-02]
 [-2.68969643e-01  9.73404669e-02  2.40818915e-02  1.41419262e-01]
 [ 1.07584303e-01  2.03408961e-02  3.45768257e-02  1.28358734e-01]]",1
batman_filler.wav,1,"[[ 1.02051377e+01  2.97353888e-01  2.10121873e-01 -3.82293935e-02]
 [-1.10538111e+00  2.86351353e+00  3.88757294e-01 -3.19261056e-02]
 [-2.63508271e+00 -1.14842385e+00  6.33059315e-01 -1.15891304e-01]
 [-2.96385487e+00  1.12660280e+00  3.49949162e-02 -6.46879497e-02]
 [-8.43451145e-02 -4.51418790e-02 -1.95895542e-01  1.28064814e-02]
 [-7.07122398e-01 -1.42577248e+00  2.74608316e-01 -1.02142409e-01]
 [ 2.34919199e-01 -1.81738584e-02 -4.16800111e-01 -2.03333898e-01]
 [-3.03339770e-01 -3.52733026e-01  1.94101672e-01  2.05637802e-01]
 [ 2.75883846e-01 -3.83531647e-01 -1.53226933e-01  8.17012789e-02]
 [ 2.67667774e-01 -2.97683474e-01 -9.99604316e-03 -1.53958803e-02]
 [ 2.15158729e-01 -4.94037788e-02  8.44380902e-02  1.09200327e-01]
 [-2.89559438e-01 -1.38440373e-01 -1.01660280e-01 -1.53379950e-01]
 [ 4.61623871e-01 -6.82839799e-01  7.28545990e-02  5.14334863e-03]
 [-9.30232600e-01  2.41470128e-01 -1.42169543e-01 -4.07076838e-02]
 [-3.10679148e-01  4.24971012e-02 -1.75797887e-01  8.49824604e-02]
 [-6.00959213e-01 -1.66276757e-01 -4.47799407e-03  1.11291515e-01]
 [-6.93277707e-01  5.14622983e-02 -1.43242095e-01  3.91102915e-02]
 [-6.03403598e-01  4.59158303e-02 -1.08260849e-01  1.15155992e-01]
 [ 1.15650750e-01  3.48683002e-02 -3.62683100e-01 -5.95755191e-02]
 [-5.48804222e-01  4.73703588e-03 -7.87256982e-02  6.02405965e-02]]",0
batman_filler.wav,2,"[[ 9.49704140e+00 -1.06184976e+00 -3.37072122e-01 -5.49833067e-02]
 [-7.08248041e+00 -7.80012639e-01 -4.45631093e-01 -2.57167966e-01]
 [ 1.60543071e+00  1.48103149e+00 -2.19577903e-02 -6.85103579e-02]
 [-8.10496779e-01  6.69299536e-01 -2.58613157e-01  4.02165996e-01]
 [ 4.00722843e-01  8.65456585e-01 -2.17721225e-02 -1.90187646e-02]
 [-1.08638339e+00 -1.28137172e-01  1.07576141e-01  1.95210678e-01]
 [-1.26565760e+00 -7.90008177e-01  5.97465767e-01  3.15545021e-01]
 [ 1.04088185e+00  3.69582414e-01  3.80162756e-01 -2.23349711e-01]
 [ 4.47277181e-01 -2.80837204e-03 -2.07596295e-01  2.06311967e-01]
 [-1.19420559e+00 -6.05899231e-01  1.42640625e-01  2.02797818e-02]
 [-3.38678668e-02  2.82192096e-01  4.01698108e-02 -8.07183959e-02]
 [-1.75027434e-01 -2.57763784e-02  3.22050243e-02  2.09544309e-01]
 [ 7.69626831e-01 -4.82180419e-02  2.69661864e-01 -7.29374776e-02]
 [-1.02179221e+00 -7.71234868e-02 -3.89342758e-01  5.62061976e-04]
 [-2.70705509e-01  1.76707518e-03 -2.01547271e-01  7.77861013e-02]
 [-4.05861920e-01 -2.85614258e-01  1.22836997e-01 -4.18249759e-02]
 [-2.82999236e-01  1.06509922e-01 -1.70507350e-01  4.89062604e-02]
 [-1.54820534e-01  1.77762364e-01  8.34009625e-02 -2.87303353e-01]
 [-1.41661448e-01 -2.01852636e-01  2.09803056e-01 -1.48183855e-01]
 [ 1.64979123e-01  5.36986673e-02  6.81169544e-02 -2.22314013e-01]]",0
batman_filler.wav,3,"[[ 1.30558807e+01 -3.36182673e-01 -2.16693638e-02 -1.58014837e-02]
 [-6.40121218e+00 -7.21836034e-01 -2.32993033e-01  5.11211098e-02]
 [-3.54464523e+00  7.74166061e-01  2.43023397e-01 -6.98523655e-03]
 [ 1.00612484e-01  1.84249955e-01 -4.34733075e-02 -6.39900129e-02]
 [ 1.08719023e+00  8.41029981e-01 -2.42852256e-01 -1.94995663e-02]
 [ 1.04662596e-01 -6.40827341e-02 -1.46089292e-01  1.80067842e-01]
 [-1.63268404e+00 -4.76680289e-01  5.86772998e-03 -9.57044528e-02]
 [ 2.09484654e-01  6.15245556e-01 -1.15296785e-01  2.96235248e-02]
 [ 3.02871090e-01  5.65875854e-01  1.06800368e-01  1.18124433e-01]
 [-7.13665210e-01 -2.21754144e-01  3.53073073e-01 -5.53852644e-02]
 [ 1.21643903e+00 -1.54680411e-01  8.30961268e-02 -8.93795291e-02]
 [-8.07224267e-01 -4.18643332e-01  1.74873028e-01  2.90935650e-02]
 [ 3.37281479e-01 -3.91171323e-01  3.77684085e-02  1.47777297e-01]
 [-7.29129985e-01 -3.27823903e-01 -1.45268477e-01 -7.95419049e-02]
 [-1.27819155e+00  2.83606507e-01  7.62070800e-03 -6.81993640e-02]
 [ 3.41885363e-01  4.11167301e-01 -7.97540471e-02 -6.16359064e-02]
 [-1.30811889e+00 -1.85914191e-01 -1.56908627e-01 -1.60776254e-01]
 [-9.87371518e-02 -1.72241944e-01 -6.67260590e-02  9.86655014e-02]
 [ 4.56995934e-01 -7.64445495e-02  8.96597711e-02  7.01870931e-02]
 [-6.99695081e-01 -1.27885690e-01  1.49248639e-01 -7.76139127e-03]]",0
batman_filler.wav,4,"[[ 2.42311703e+01 -1.08375555e+00  1.18418514e-01 -2.69261806e-01]
 [-1.13565483e+01 -3.47630752e+00 -6.11549738e-01 -1.28406486e-01]
 [-9.87093406e-01  4.34711107e+00 -2.11462360e+00 -1.97159935e-01]
 [-4.35127342e+00  2.34680723e+00  2.27658681e+00 -5.07138543e-01]
 [-6.00027918e-01  3.37313094e-01  2.92136678e-01  2.16833865e+00]
 [ 4.18913832e-01 -9.69563369e-01 -1.69457168e+00  8.91168365e-02]
 [-1.89869192e+00 -3.29155242e-01  1.90558429e-01 -1.15407005e+00]
 [-1.26359631e-01  5.90196631e-01  8.75488681e-01  4.20685322e-01]
 [ 5.63884188e-01 -6.95975650e-01  4.65956833e-01  5.66419668e-01]
 [-1.45792874e+00 -8.76287324e-01 -1.96150497e-01 -5.82270204e-01]
 [-3.15597973e-01  3.64501209e-01 -4.95368750e-02 -3.48222544e-01]
 [-1.89358178e-01  4.92162784e-01 -1.20111679e-01  3.35926840e-01]
 [ 7.72860372e-01 -2.68255083e-02 -4.97739884e-03  1.85831698e-01]
 [-1.88299174e+00 -1.22723318e-01  5.61321114e-01 -2.12537493e-01]
 [-1.00334365e+00 -2.63541382e-01 -4.03120840e-01  2.53688247e-01]
 [-6.19285415e-01  1.12722651e-02  2.41592872e-01 -1.83228599e-01]
 [-5.09148234e-01  1.59919538e-01 -1.24005339e-01 -3.97342862e-01]
 [-8.57551044e-01 -3.70641462e-01  4.95432675e-01  6.66461275e-02]
 [ 1.63347882e-01 -2.29464378e-01 -3.57525944e-01  1.80992865e-01]
 [ 5.02299613e-03 -2.05043108e-01  1.58680992e-01 -2.88007742e-01]]",0
batman_filler.wav,5,"[[ 1.95316386e+01  1.13440541e+00 -1.81418740e-01  5.02288229e-02]
 [-1.15987789e+01  1.40045089e+00 -3.95384416e-01  2.36260565e-01]
 [ 2.06319358e+00 -1.34668119e+00 -3.49356548e-01  1.02421755e-01]
 [-3.19599788e+00 -1.05785818e-01 -3.05741460e-01 -2.30049074e-01]
 [-9.01180187e-01 -5.94758451e-01 -8.95584058e-02  1.40195603e-01]
 [-1.07481986e+00  1.90213481e-01  1.66311019e-02 -1.03062030e-01]
 [-1.75883962e+00  1.87968843e-01  3.24075059e-01 -1.06087763e-01]
 [ 1.86527541e+00 -7.90442299e-01 -3.17421739e-02  9.48262834e-02]
 [-1.23825838e+00 -4.29763236e-02  3.13530335e-01  1.15557026e-01]
 [-4.21072692e-02 -2.00696507e-01  1.30426158e-01  1.06307106e-01]
 [-5.98572764e-01 -4.47393705e-01  2.32117679e-02 -1.50053116e-01]
 [-1.35976454e+00  3.66299743e-01  4.58884918e-01  4.27758914e-02]
 [ 1.06025399e+00 -2.57739861e-01  2.58883407e-01  8.80408804e-02]
 [-2.16360757e+00  3.99433635e-01  2.50469943e-02 -1.92897017e-01]
 [-3.07603748e-01 -6.30751557e-04 -1.84755083e-01  1.93024613e-03]
 [-8.63353556e-01  5.19261165e-01  9.89386688e-02 -8.08981532e-02]
 [-2.99667211e-01  1.59218944e-02  9.57873818e-03 -7.67623974e-03]
 [-3.14704015e-01 -7.77825945e-02 -2.17556239e-01 -1.76839879e-01]
 [-1.68134247e-02 -1.28995607e-01  6.10727258e-02  1.14526272e-01]
 [ 1.21370736e+00 -2.20071955e-01  3.52331915e-02 -4.55071806e-02]]",1
batman_filler.wav,6,"[[ 1.55862418e+01 -6.67122647e-01 -1.50572118e+00 -3.26262657e-01]
 [-1.17740139e+01 -2.05024499e-01 -1.99899006e+00  2.16560726e-01]
 [ 1.17491557e+00  3.51444117e+00  1.58343197e+00  1.57456539e-01]
 [-3.03284362e+00 -1.89873984e+00  2.18572397e+00 -7.44994496e-01]
 [ 1.31066520e+00 -1.08628482e+00  6.98729184e-01  5.77233032e-01]
 [ 1.39178267e+00  1.24398954e+00 -7.41983712e-01  1.51258332e-01]
 [-1.80269086e+00  1.23614820e+00 -6.00635028e-01 -7.68726696e-01]
 [ 8.33547039e-01 -5.15894557e-01  1.04693752e+00  1.75302238e-01]
 [ 9.86302050e-01 -1.08930308e+00  1.76615028e-01  4.80586690e-01]
 [-1.19361054e+00  3.01272640e-01 -5.81619295e-01 -4.79155950e-03]
 [-2.08671437e-01 -6.20752055e-01 -7.39498024e-02  6.26760446e-02]
 [-5.80758259e-01  2.61662274e-01 -6.50011284e-02 -5.85642527e-01]
 [ 1.22529420e+00  4.24725348e-01  1.79358078e-01  9.28004168e-01]
 [-2.10078749e+00 -6.66508168e-01 -7.40532080e-01 -2.28728426e-01]
 [-3.19719743e-01  4.27142410e-01  2.28990073e-01 -5.55842272e-01]
 [-1.40230025e-01 -2.45710584e-01 -1.90043795e-04  3.21847300e-01]
 [-1.04473834e+00 -8.90449368e-02 -3.68940420e-01 -5.41040289e-02]
 [-4.56855067e-01  8.08376417e-02  3.17845408e-01 -1.39618578e-01]
 [ 1.79285473e-02 -7.33310555e-01  3.17721605e-01  2.62777172e-01]
 [ 1.28242165e-01  3.27476518e-01 -5.77900922e-02  7.50089980e-02]]",0
batman_filler.wav,7,"[[15.14034349 -0.178282    0.217348    0.04542526]
 [-7.5706258  -0.72907863  0.38181589  0.07296502]
 [-1.52451806 -0.98969344 -0.41161627 -0.58933694]
 [-2.31652056  2.02222105  0.10740898 -0.56185401]
 [-0.4360467  -0.1556504   0.97909075  0.01831496]
 [-0.18030256  0.19677892 -0.49598574  0.62090268]
 [-1.51665339 -0.25782524 -0.26068063  0.45616703]
 [ 0.43533703 -0.43752385 -0.47478115 -0.58031106]
 [ 0.96331368 -0.34595761  0.43158242 -0.27118666]
 [-0.26468177  0.56234017  0.32549375  0.37508832]
 [ 0.73384068  0.09046396 -0.57404576  0.10194387]
 [-0.58520056  0.12893    -0.31239116  0.3306894 ]
 [ 1.33757288 -0.0816177  -0.046777   -0.23951611]
 [-1.03586285 -0.50702555  0.2016325  -0.04200531]
 [-1.36362698 -0.065243   -0.17259452  0.1708579 ]
 [ 0.09919129  0.47842087 -0.31815058 -0.0982983 ]
 [-0.8479887  -0.13760606  0.21465672  0.05294869]
 [-0.95076636  0.24586478  0.20370693  0.17272923]
 [ 0.62681947  0.21711826 -0.20039784 -0.06524879]
 [-0.74362422 -0.05663451  0.20468471  0.02972484]]",0
batman_filler.wav,8,"[[ 1.34993131e+01  2.82003812e+00  6.51935782e-01 -2.28961784e-01]
 [-6.05627047e+00  6.31288837e+00  1.61108110e-01 -3.33445968e-01]
 [-5.62910618e-01 -4.79146483e+00  9.33523435e-01 -5.19009272e-01]
 [-4.85223094e+00 -2.37332716e-02  1.41307243e+00 -1.58212610e-01]
 [ 7.00314795e-01 -9.44855750e-01 -4.02752304e-01  1.37473647e-01]
 [ 4.73743478e-01 -2.09012265e+00 -8.76888083e-01 -1.19998681e-01]
 [-2.47477680e-01 -4.39328835e-01  9.67426537e-01  9.31359162e-01]
 [-4.00515951e-01 -9.82621743e-01 -3.75467678e-01 -1.39234055e-01]
 [ 1.35586622e-01  7.69413417e-01 -7.29704570e-01  3.57301885e-01]
 [ 1.33366236e-02 -1.37599259e-01  1.24815062e-01  2.88479655e-01]
 [-1.92747889e-01  5.57109515e-03 -3.76758129e-01 -5.35607760e-01]
 [-7.06343101e-01 -4.09620956e-03 -3.26447782e-01 -3.37857931e-02]
 [ 1.40758655e+00 -6.60082071e-01 -2.23193222e-01 -1.95382971e-02]
 [-1.15451416e+00  6.60200802e-01 -5.37659113e-02 -1.10269267e-01]
 [-3.56364408e-01 -4.30377550e-01 -1.08177967e-02 -2.61567042e-01]
 [-4.04463640e-01 -2.14842996e-01 -3.49151743e-01 -1.03765154e-01]
 [-4.75908272e-01  3.57460257e-01 -2.97117989e-01  5.79682724e-01]
 [-4.12940889e-01 -8.32027760e-02 -1.11215194e-01  1.55674930e-01]
 [-4.92928302e-02 -1.95503623e-01  4.82643636e-02  3.66871159e-01]
 [-3.57900294e-01  7.22595071e-02 -1.66865313e-01 -2.53447479e-01]]",0
batman_filler.wav,9,"[[ 1.46859017e+01 -1.55688608e+00 -1.12025738e-01 -3.26318386e-01]
 [-8.54296631e+00 -2.74378186e+00  3.89850711e-01 -1.92912518e-01]
 [ 1.10244340e+00  2.98535781e+00  1.50591762e+00 -9.92646158e-02]
 [-2.75354914e+00  1.68718078e+00 -1.43932659e+00 -4.08201850e-01]
 [ 4.58542929e-01 -4.33322824e-02 -6.98623252e-01  8.57800718e-01]
 [-2.69643695e-01 -7.05148561e-01  8.96032019e-01  2.48293729e-01]
 [-2.43950884e+00 -1.22408609e-01  5.88024623e-02 -5.29239677e-01]
 [ 3.61438045e-01 -2.36510341e-02  1.53501353e-01  1.50861185e-01]
 [ 5.40927381e-01  3.10468152e-01 -4.65982197e-01  1.82836615e-01]
 [-9.04544153e-01 -5.39666399e-01  2.71203722e-01 -4.34674192e-02]
 [-2.97297377e-02  2.13807720e-01 -1.48984950e-01  9.57892618e-02]
 [-2.85211765e-01 -7.64046773e-02  1.73922429e-01 -1.86017329e-01]
 [ 5.11734563e-01  3.06548579e-02  1.31944278e-01  2.58026217e-01]
 [-7.45188762e-01  3.44990904e-01 -4.46149166e-01 -1.89655024e-01]
 [-6.61430884e-01 -1.22665322e-01  5.87744506e-02  5.23825570e-03]
 [-5.28136795e-01  2.93957816e-01 -9.05933904e-02 -4.89638423e-02]
 [-6.47787552e-02  2.64615586e-01 -2.91784894e-01  6.31854049e-02]
 [-6.58089984e-01  1.09225959e-01 -6.60725257e-02  9.99942326e-02]
 [-9.10173569e-02 -3.64694427e-01 -8.90621175e-02 -5.93665624e-02]
 [ 3.12808118e-01  5.83796602e-02  2.08655773e-01  1.21381606e-01]]",0
