Original File,Chunk Number,Featured Wave,is Filler
greeneggs_filler.wav,0,"[[ 1.89351270e+01 -1.50226966e+00  3.76202153e-01 -2.74055184e-02]
 [-1.05924544e+01 -1.70323126e+00  3.49152080e-01  9.95104757e-02]
 [ 2.95969607e+00  3.35829889e+00 -4.07598715e-01 -2.74739395e-01]
 [-3.21586243e+00  6.17828399e-01  1.76496375e+00 -5.01887243e-01]
 [ 3.63098724e-02  1.36732121e+00  5.85375579e-01  9.60403639e-01]
 [-1.26342984e+00 -5.53547073e-01 -1.23658361e+00  1.71396242e-01]
 [-1.79469862e+00  7.35300626e-02 -8.21254616e-02 -2.05950566e-01]
 [ 4.49407910e-01 -8.63178394e-02  7.04058015e-01  5.72537032e-01]
 [ 5.37915499e-01 -3.75572433e-01  6.16865794e-02 -5.54148982e-01]
 [ 2.79074780e-01 -1.94364715e-01 -6.03208349e-01  1.56077760e-02]
 [ 1.80705351e-02  5.77753921e-03  1.35303810e-01 -1.35594604e-01]
 [-1.12145407e+00 -9.64286753e-02 -3.72160753e-02 -2.23840946e-01]
 [ 2.17236114e-01  1.84489731e-02 -1.87490998e-01  3.11712695e-02]
 [-2.01625159e+00 -6.12115927e-01 -1.18639223e-01  4.30184259e-02]
 [-1.45421015e+00 -7.01979868e-02 -7.50846529e-01  1.20390398e-01]
 [-9.60448845e-01 -1.57111773e-01  1.07583752e-01 -2.46789527e-01]
 [ 4.35516151e-01  3.68247986e-01 -7.58861881e-02  3.06831142e-01]
 [-7.23674354e-01 -6.40628966e-01  1.31568681e-01  1.56163514e-01]
 [-1.02534800e+00  1.12028316e-01 -4.95550627e-01 -3.48173790e-01]
 [ 2.99478300e-01  7.03049355e-02 -2.20748627e-01  4.15006564e-02]]",0
greeneggs_filler.wav,1,"[[15.07326879 -1.34197834 -0.17174313 -0.32071064]
 [-7.63000095 -1.90189171  0.35456643 -0.33806653]
 [ 1.20979868  2.87789993  0.28165607 -0.44120549]
 [-3.73305123  0.01902634 -1.75722803 -0.15518244]
 [ 0.76641713  0.60984959 -0.76884453  0.7396251 ]
 [-1.17933493 -0.26193017  1.83735808  0.1106671 ]
 [-1.65407521 -0.06844606  0.12465348 -0.45401033]
 [ 0.43494085  0.1102986  -0.09735477  0.602478  ]
 [ 0.22040596 -0.38715579 -0.34148014  0.29868089]
 [ 0.09720387 -0.47800311  0.7429304   0.49757371]
 [-0.44510692  0.39537292  0.10312446 -0.34068741]
 [-0.72548853 -0.12322524 -0.59683259 -0.02116248]
 [ 0.95847259  0.73066519  0.36353016  0.08870886]
 [-1.65072931 -0.51344775 -0.34922438 -0.14542994]
 [-0.48089705  0.42371284  0.21460348 -0.20164904]
 [-0.64794774 -0.0941275   0.11279473 -0.13750729]
 [-0.06824778 -0.0438535  -0.20415857 -0.08980281]
 [-0.57628419  0.18838809  0.18647133  0.25198632]
 [-0.53315101 -0.33441869 -0.34517535 -0.06850866]
 [ 0.56380699  0.19326435  0.31035286  0.1242031 ]]",0
greeneggs_filler.wav,2,"[[ 2.49263283e+01 -5.80438296e-01 -8.76971514e-02 -1.15364355e-02]
 [-1.16747153e+01 -5.29933171e-01 -9.02914659e-02 -2.12601507e-01]
 [ 1.70366439e+00  1.77389592e+00  2.79319764e-01  1.63422088e-01]
 [-5.11140170e+00 -8.08155649e-01  7.21579099e-02  2.91166779e-01]
 [-3.39779643e+00 -1.84114900e-01 -6.28599256e-02  1.18535385e-01]
 [-1.13319996e+00 -3.04402401e-01  1.83826996e-01  1.65413438e-01]
 [-3.32198092e-01 -2.75772744e-01  2.64786742e-02  1.21545379e-03]
 [-2.72029727e-01  7.38012715e-01 -3.86386283e-01 -5.50808803e-02]
 [-1.70036760e+00 -1.76055465e-01 -2.60068427e-01 -4.55461299e-02]
 [ 6.00676834e-01  6.85356516e-02 -6.16457270e-03 -1.73838120e-01]
 [ 6.18582874e-02  2.11021370e-01  4.72780938e-01 -2.49163318e-01]
 [-1.23995780e+00 -1.32699664e-01 -1.11117255e-01 -1.24189273e-02]
 [ 1.19220046e+00  5.76523008e-02  7.60353954e-03 -3.88222456e-02]
 [-1.58691604e+00  1.61436700e-01 -1.26548985e-01  3.71947367e-02]
 [-1.84305554e+00  7.91447767e-02 -1.36255237e-01  1.48404408e-01]
 [-3.58425585e-02 -4.67936106e-01  5.80194677e-01 -2.29127636e-02]
 [-1.96030389e-01 -1.60170491e-01 -4.53476563e-02  5.68042744e-02]
 [ 1.51798145e-01  4.05432909e-01 -1.50038527e-01 -3.72367376e-02]
 [-4.76115927e-01  8.65999400e-02  6.04181736e-02 -6.84233859e-02]
 [ 3.63100562e-01  3.79466040e-02 -2.20005187e-01 -5.45761125e-02]]",1
greeneggs_filler.wav,3,"[[ 1.34803145e+01 -2.71381894e+00  3.93554691e-01 -8.32611717e-02]
 [-1.03578552e+01 -2.27559836e+00 -9.22490288e-01  3.99734553e-01]
 [ 4.29697205e+00  3.07689777e+00  1.20514661e-01  8.81852531e-01]
 [-5.18970468e+00  1.40023133e+00  1.60516741e+00 -5.07721710e-01]
 [ 1.83067991e-01  7.38532282e-01 -1.00503415e+00 -1.61662950e-01]
 [ 1.80634708e+00  9.46067928e-01 -1.00252847e+00  8.88129912e-03]
 [-2.09066942e+00  3.25251031e-02  1.09237482e+00  6.52893056e-02]
 [-5.23725179e-02 -2.81387727e-01  2.88123211e-01 -1.22841637e-01]
 [-2.60989994e-01 -9.44342368e-01 -2.43305838e-01  8.21219074e-03]
 [ 1.05146138e+00  6.51611016e-03 -2.87871397e-01 -4.59425996e-01]
 [ 9.60141445e-01  5.09393694e-02  4.30584483e-01  3.18308788e-01]
 [-2.10446401e+00 -1.08286325e+00  4.35468495e-01  3.06003718e-02]
 [ 1.53226711e+00  8.70857345e-01 -8.55568553e-01 -1.95478975e-01]
 [-9.15733786e-01 -7.54826159e-01  4.30916051e-01  3.68677177e-01]
 [-8.86860873e-01  8.63169213e-01 -5.84445168e-02 -2.54315307e-01]
 [-7.00573446e-01 -3.76162180e-01  3.73860702e-02  2.96454231e-01]
 [-5.16163918e-01 -9.11488727e-02  2.43077215e-01  2.05309451e-02]
 [ 4.05728553e-01  9.57943997e-01 -4.91073240e-01 -6.17541866e-01]
 [-7.70980382e-01 -8.67957025e-01 -2.24990192e-02 -1.17767859e-01]
 [ 1.30068103e-01  4.44424423e-01 -1.88351636e-01  1.21476079e-01]]",0
greeneggs_filler.wav,4,"[[ 9.11271889e+00  1.54389430e-02 -3.31799642e-02  5.19014661e-04]
 [ 1.89788552e+00 -2.01948276e-01  2.91655730e-02  6.65899458e-03]
 [-2.02159510e+00  8.04316356e-02 -1.26279337e-01  2.77635672e-02]
 [-1.49357993e+00  1.84955905e-01  1.18460247e-01  7.72373062e-03]
 [ 4.62680948e-02 -2.27611228e-01  8.06342568e-02  1.17594977e-03]
 [-1.55241124e+00 -2.96285895e-01 -5.57498810e-02 -1.26505044e-02]
 [ 3.35756211e-03  3.92330866e-01 -1.70395869e-02  3.85584358e-02]
 [-6.67297842e-01  1.63553794e-01 -1.10130535e-01 -5.94395684e-04]
 [-5.62122322e-01 -1.67939419e-01 -1.36072481e-01  3.24401936e-02]
 [-1.15567390e+00 -1.72791094e-01 -9.21795782e-02 -4.32499605e-02]
 [-1.70806600e-02  5.42578329e-02 -7.22016606e-02 -4.99223161e-02]
 [-2.97661662e-01  1.35631925e-01 -3.52483247e-02 -4.20875497e-02]
 [-3.79195816e-01  4.34798595e-02  2.55791175e-02  2.06418639e-02]
 [-3.33006827e-01 -1.42617212e-01  1.56697659e-01 -9.57214386e-03]
 [-5.83183082e-01 -9.49861321e-02  1.37645471e-01 -2.16520516e-02]
 [-4.99633123e-01  2.98082698e-01  7.12696161e-02 -1.81086103e-02]
 [-4.14664253e-02  2.64329749e-01  4.02522774e-02 -2.87257138e-03]
 [-5.15261252e-01 -3.72403187e-02 -2.39220189e-02 -1.92602356e-02]
 [-3.99366948e-01 -1.14773914e-01  1.50899694e-03  2.55499428e-02]
 [-5.41693935e-01 -1.76299719e-01  4.07901517e-02  5.89386461e-02]]",0
greeneggs_filler.wav,5,"[[ 14.24836138  -1.98350656   0.30833468  -0.27216104]
 [-10.22148374  -1.50852958  -0.49489324  -0.85757171]
 [  4.07097202   2.9341792   -0.19075058  -0.58393446]
 [ -2.8749475    0.75666335   1.20640192   0.15580106]
 [ -1.00497121   0.13407037  -0.79956085   0.05074587]
 [  0.9407474    0.28273672  -0.78595684   0.35099396]
 [ -1.73515803  -0.15573598   0.86019371   0.44259363]
 [ -1.56978969  -0.03985145   0.18235886   1.0200395 ]
 [  0.51409036   0.15778508   0.16308677  -0.43254456]
 [ -0.37011673  -0.49834848  -0.36548072   0.39303988]
 [  1.57390426   0.62911016  -0.20277762  -0.10937793]
 [ -2.36674658  -0.51995273   0.77836718   0.05009083]
 [  0.81083004   0.01914533  -0.83342143   0.19928495]
 [ -0.52587265   0.10927865   0.3327646   -0.2348963 ]
 [ -0.83513151  -0.33085194  -0.12812575  -0.21213132]
 [  0.02044063   0.21810426  -0.12126362   0.18988985]
 [ -0.2653156   -0.12762347   0.33862415  -0.74375935]
 [  0.34020171  -0.17758861  -0.97460391   0.31597834]
 [ -0.54076379   0.20748665   0.69468984   0.08135406]
 [ -0.20925078  -0.10657098   0.03201284   0.19656475]]",0
greeneggs_filler.wav,6,"[[ 1.92217178e+01 -1.13089737e+00  1.56231395e-01 -6.66804667e-02]
 [-1.31965730e+01 -8.37055668e-01  7.40927574e-01 -7.54011338e-02]
 [ 4.21073429e+00  1.17738548e+00  5.46629418e-01  1.27625164e-01]
 [-1.97698137e+00 -4.54032454e-03 -6.34674464e-01  1.69250063e-01]
 [-8.89939049e-01  6.77760835e-01 -3.57874533e-01 -2.71341809e-01]
 [-1.47112073e+00 -1.55004119e-01  1.80214907e-01  3.59779933e-01]
 [-3.37955760e+00 -2.81569302e-01 -4.82086080e-01  3.59475673e-02]
 [ 2.48588431e+00  7.83631404e-01  7.68840874e-02 -1.04055177e-01]
 [-1.45579116e+00 -3.09268112e-04 -5.31046977e-02 -1.92365112e-01]
 [ 1.33296907e-01  3.14744712e-01 -2.77759918e-02 -3.86643363e-03]
 [ 1.40452072e+00  3.15303014e-02  1.59067838e-01  1.26126363e-01]
 [-3.42315144e+00 -4.42630042e-01 -4.43146245e-01  7.91708801e-02]
 [ 3.52950034e-01  2.60900760e-01  1.21567359e-01 -2.55539276e-04]
 [-3.21411843e-01 -2.22652577e-01 -6.98711536e-02 -8.20927773e-02]
 [-8.82017836e-01  1.83994511e-01  1.63876337e-01 -1.05440479e-01]
 [-2.38664059e+00 -5.05361808e-01  6.49381451e-02 -1.46166510e-01]
 [ 1.37789725e+00  4.67803662e-02 -1.69888805e-01  6.34145288e-02]
 [-1.16543507e-01 -7.02652415e-02  5.53471439e-02  7.13746038e-02]
 [-6.62841582e-01 -9.10072320e-02 -1.94129290e-02 -2.66620847e-03]
 [ 9.75568350e-01  2.64564582e-01 -7.84930323e-03  1.76425435e-02]]",1
greeneggs_filler.wav,7,"[[ 1.77013996e+01 -1.91986167e+00 -2.45668009e-01 -1.40948767e-01]
 [-1.28490397e+01 -1.54339575e+00 -9.58276016e-01 -1.86431553e-01]
 [ 3.17756005e+00  4.01357352e+00 -3.61522703e-01 -6.54507241e-01]
 [-2.88609077e+00 -2.12783097e-01  2.55717513e+00 -2.48264504e-01]
 [ 1.30297439e-01  1.03250004e+00  7.84796921e-01  9.84441167e-01]
 [-8.63333407e-02 -1.43627684e-02 -1.53402713e+00  1.77228671e-01]
 [-2.15601914e+00 -4.15339346e-02 -1.85185768e-01 -5.45431393e-01]
 [-8.57007896e-02 -3.72379379e-01  4.09200615e-01  1.06793474e+00]
 [ 8.09906539e-01 -9.61032068e-01  3.75105858e-01 -5.98195887e-01]
 [-1.34274030e-01  2.74230932e-01 -8.08730297e-01  7.81628580e-01]
 [ 6.56614559e-01  4.54776538e-02  1.58633371e-01 -1.53307225e-01]
 [-1.48831608e+00 -2.94700443e-01  2.27318619e-01  4.58552253e-02]
 [ 7.83994228e-01  3.71342528e-01 -3.00434190e-01 -5.75669550e-02]
 [-7.25862553e-01 -8.00549033e-01 -1.62914645e-01 -6.36008120e-01]
 [-1.12590167e+00  3.15415791e-03  8.00731672e-03 -3.51494390e-02]
 [-1.05620988e+00  1.88621984e-01  2.14640206e-01 -2.06906581e-01]
 [ 8.53723836e-02  1.86236966e-01  1.26699043e-02  2.94894568e-01]
 [ 3.65421033e-01 -1.10249358e-03  2.06178068e-01  8.52511727e-02]
 [-1.12296945e+00 -1.68133499e-01 -5.90225713e-02 -2.59109537e-01]
 [ 6.15152926e-03  2.14696360e-01 -3.37944684e-01  2.84593074e-01]]",0
greeneggs_filler.wav,8,"[[ 1.03321598e+01  6.80838360e-01  6.73303430e-02 -5.57269955e-02]
 [-6.49410795e+00  1.04094997e+00  2.65870156e-01 -9.99344035e-02]
 [ 7.23594772e-01 -7.75610306e-01  1.51548720e-01 -1.01488552e-01]
 [-1.74184440e+00  5.80760336e-02 -3.17762991e-01  2.48688571e-02]
 [-1.33603348e+00 -7.18578522e-01 -4.88202947e-02 -1.35818877e-02]
 [ 2.55228527e-01 -3.03989577e-01  4.09413431e-01  1.11405969e-01]
 [-4.73118867e-01  3.12641900e-01 -3.01253018e-02  4.18557131e-02]
 [ 2.37376365e-02 -2.33846181e-01 -1.68850633e-01 -5.59030086e-03]
 [ 2.70370209e-01  1.62431888e-01 -4.71337137e-02  1.05211964e-01]
 [-1.21356934e-01  9.52709585e-02  6.70709356e-03  5.83387297e-02]
 [ 1.81713218e-01 -6.06148172e-01  5.65181692e-02 -5.78795644e-02]
 [-7.88167408e-01  1.99893045e-01 -3.35282984e-01 -5.30606711e-02]
 [ 2.33018546e-02  9.65580055e-02 -8.06290353e-02  7.57888859e-02]
 [-4.37289742e-01  1.44505287e-01 -1.23137842e-02  6.39488853e-02]
 [-4.72958607e-01 -1.83477148e-02  1.45587939e-01 -1.10924540e-02]
 [-2.70822951e-01  6.21924934e-02  5.19622927e-03 -1.51628195e-03]
 [ 4.44934096e-02 -4.90962220e-02 -9.31864803e-02 -5.42575096e-02]
 [ 8.26162487e-02 -1.05902153e-01  1.42531318e-01 -4.48428517e-03]
 [-6.40778072e-02  4.50897154e-02 -5.07458266e-02  1.97478730e-02]
 [ 2.62562485e-01 -8.69288069e-02 -6.58523549e-02 -4.25539708e-02]]",0
greeneggs_filler.wav,9,"[[ 1.92985605e+01  5.17861873e+00  1.04723572e-01  3.00071410e-02]
 [-1.15807508e+01  7.67388902e+00  8.98809724e-01 -5.72244535e-01]
 [ 3.19217931e+00 -4.88485543e+00  1.73722893e+00 -1.15279796e+00]
 [-2.08562850e+00 -9.98928322e-01  9.22780578e-01  1.23642049e+00]
 [-1.52511864e+00  4.61888122e-03 -7.45774632e-01 -6.89908653e-01]
 [-1.47227912e-01 -1.41308606e+00 -1.16863597e+00 -4.94714541e-01]
 [-1.06019906e+00 -4.63483434e-01  7.65680233e-02  9.74106443e-01]
 [-2.42409458e+00 -4.74703642e-01 -5.19712977e-01  7.30239865e-02]
 [ 1.15009554e+00 -4.64667911e-02  5.54909958e-02 -5.83913285e-02]
 [-4.68368800e-01 -2.99901507e-01 -6.97852039e-01 -2.92856712e-01]
 [ 5.54246457e-01 -6.38719594e-01  3.80337222e-01  1.49246372e-01]
 [-1.88875057e+00 -3.95600648e-01 -2.49359140e-01  3.26981779e-01]
 [-2.24279323e-01 -2.42944443e-01 -2.72344495e-01 -3.31653622e-01]
 [ 1.92371990e-02 -3.73665441e-01  3.52593102e-01  1.40570071e-01]
 [-2.24623692e+00 -6.27373408e-02 -3.16933136e-01  2.11790512e-01]
 [ 1.86359758e-01 -9.24277872e-01  6.21702411e-02  7.91387877e-03]
 [ 2.43209856e-01 -5.03136787e-01 -5.84554563e-03 -3.24808691e-02]
 [-6.92048254e-01 -1.74729092e-01 -3.92181365e-01 -6.95749270e-02]
 [ 1.40618816e-01 -5.53684191e-01  8.05252166e-02  3.42774117e-01]
 [-4.41804053e-01 -4.06206029e-01 -3.02588306e-01  2.01788363e-01]]",0
