Original File,Chunk Number,Featured Wave,is Filler
hamlet_filler.wav,0,"[[ 1.74946981e+01 -1.12886416e+00 -1.62636736e-01 -5.13050224e-02]
 [-5.74513131e+00 -1.26786332e+00  1.00502001e+00 -1.30350774e-01]
 [ 1.39011451e+00  1.49854522e+00  2.60444685e-01 -3.45769512e-01]
 [-7.28968247e+00 -7.08789207e-01 -8.96572915e-01 -1.08663639e-01]
 [-4.01146812e+00 -5.00348930e-01  9.09102816e-02  1.98193802e-01]
 [ 7.96832780e-01  4.83783355e-02  5.22013292e-01  1.17734205e-01]
 [-1.28935079e+00 -2.78524149e-01 -2.54429161e-01  8.86490710e-02]
 [-6.58742544e-01  3.45550293e-01 -4.74668178e-01 -6.36891919e-02]
 [ 1.22322002e+00  4.55461885e-01  2.55045502e-01 -1.52524442e-01]
 [-4.94360229e-01  6.18278351e-02 -1.52674178e-01 -1.61224538e-02]
 [ 2.90373185e+00  9.37743982e-01  1.05236005e-01  2.32798609e-01]
 [-1.29889141e+00  1.81224417e-02 -1.74309437e-01 -2.76704307e-01]
 [ 1.42098566e-01  1.30795109e-01  2.06640364e-02  4.01562812e-01]
 [ 8.65733524e-01  1.47462330e-02  4.46882572e-03 -1.46259021e-01]
 [-5.27243057e-01  2.47973981e-01 -1.05707364e-01  8.48742517e-02]
 [-7.55230158e-01  1.83129870e-01 -8.62908626e-03  1.75448206e-01]
 [-6.24794351e-01 -1.85381128e-01 -3.54032445e-03 -2.30728294e-01]
 [-6.10094915e-01  2.16526848e-01  1.00923067e-01  1.79534592e-01]
 [-7.50951073e-01 -1.87551906e-01  2.97798554e-02 -9.03104822e-02]
 [-7.60488885e-01  9.85207679e-02 -1.61338181e-01  1.33631592e-01]]",0
hamlet_filler.wav,1,"[[ 1.68702173e+01  1.59086659e+00 -5.65568535e-02  4.61440723e-02]
 [-1.06633543e+01  2.00258535e+00  1.83267867e-02  1.30282007e-01]
 [ 9.85495354e-01 -9.44405205e-01  5.91139329e-01 -4.11932383e-02]
 [-1.68671439e+00 -1.01954898e+00 -3.67456584e-02  1.52728264e-02]
 [-1.03491216e+00 -8.61233076e-01 -5.51850098e-01  1.16883991e-03]
 [ 4.30486801e-01 -9.64081497e-01 -1.24137664e-01 -1.07829864e-01]
 [-2.47192585e+00  5.75521294e-01  1.80629319e-01 -6.88018713e-02]
 [-5.15856183e-01 -9.73335821e-01 -1.51799009e-03 -5.05450931e-02]
 [ 6.52016805e-01 -1.38465042e+00 -7.15084229e-02  5.93638642e-02]
 [-4.79196530e-01  1.56887254e+00 -1.01501668e-01 -9.66057407e-02]
 [ 1.03097389e+00 -2.87369632e-01  2.18220761e-02  7.01014946e-02]
 [-2.59749196e+00  1.17408843e+00 -3.40297782e-02 -6.77297299e-02]
 [-3.01840704e-02  1.72034688e-01  1.06017839e-01 -1.83482725e-01]
 [ 1.16194711e+00 -3.44693873e-01  2.49361995e-01  1.29387382e-01]
 [-8.36068354e-01  6.19819322e-01 -2.11231024e-02  2.17987736e-02]
 [-5.33383315e-02 -1.05726580e-01  2.45815932e-03  9.52244247e-02]
 [-1.10485628e-01 -2.90018856e-01 -1.76541245e-01  2.19086955e-02]
 [-3.90852831e-01  3.26496363e-02  4.09642553e-02 -1.46693416e-01]
 [-4.23935232e-02 -2.93888580e-01  2.77768908e-02  2.58794438e-01]
 [-2.18363211e-01 -2.67485329e-01 -6.29841678e-02 -8.65651394e-02]]",1
hamlet_filler.wav,10,"[[ 1.77410729e+01  7.86892514e-01 -6.54578580e-02 -7.73795552e-02]
 [-8.59890100e+00  1.61840369e+00  2.86673039e-02 -2.76916404e-02]
 [-1.64686913e-01 -1.11723035e+00  6.40505873e-01 -3.73105741e-02]
 [-4.53120546e+00 -3.97693677e-01 -4.69261824e-01 -2.84816119e-01]
 [-1.71035315e+00  1.76446835e-01 -1.78466862e-01  3.78732813e-01]
 [-1.70535416e-02 -6.62606905e-01 -4.15601358e-01  1.69526085e-01]
 [-1.94999402e+00  5.78058451e-01  1.46986258e-01 -1.52236348e-01]
 [-2.44772702e+00  8.94031464e-02  2.58853964e-01 -8.17915046e-03]
 [-2.88789241e-01 -6.80066615e-01 -2.16627739e-01 -1.28994037e-01]
 [ 1.35166975e+00  1.40687480e-01 -2.05714225e-01  1.42301515e-01]
 [ 2.09272030e+00 -1.11908822e-01  2.82194413e-01  5.82248756e-02]
 [-5.12491863e-01  1.10021441e-01  1.79676293e-01 -4.35485063e-02]
 [-1.09151632e-01 -7.56117100e-02  1.21093458e-01  3.83289011e-02]
 [ 1.09723099e+00 -4.11087009e-01 -2.04496803e-01 -1.24857788e-01]
 [-4.99002802e-01 -1.09949399e-01  7.63688042e-02  1.86793680e-01]
 [-6.93684554e-01 -6.10804388e-03  3.38665643e-03  6.06886511e-02]
 [ 4.75329012e-01  1.18317443e-01  1.68234239e-02 -8.07555336e-02]
 [-3.91882576e-01 -3.16583175e-02 -4.83654755e-02 -3.29342739e-02]
 [-9.20479555e-01  1.73505538e-01  4.09228213e-02 -1.02955609e-01]
 [ 7.73804228e-02 -1.87815692e-01  8.51287645e-03  6.70626151e-02]]",1
hamlet_filler.wav,11,"[[ 1.86886387e+01 -1.13397729e+00 -1.17130422e+00 -1.37932085e-01]
 [-1.31692502e+01 -1.50218937e+00 -1.54811020e+00 -3.92967208e-01]
 [ 4.22855449e-01  2.96894127e+00  2.98860523e-01 -2.17287509e-01]
 [-2.88259584e+00  9.79933355e-01 -8.97211486e-02  1.37192805e-01]
 [-1.51776985e+00 -2.15253346e+00  1.84756737e+00  2.68075133e-01]
 [ 4.47811443e-01 -3.45120799e-01  9.29041738e-01  7.66457330e-02]
 [-1.64145908e+00  4.18266019e-01 -1.01987397e+00  5.20386844e-01]
 [ 1.13754703e-01  1.10741172e+00 -2.92139786e-02  2.50800298e-01]
 [ 1.09941206e+00  3.42054294e-01  7.34456462e-01 -4.02819359e-01]
 [-9.58944353e-02 -3.14947938e-01  1.78577494e-01 -3.85504145e-01]
 [ 1.22319344e+00 -1.95555542e-03  4.21515509e-01 -2.16486174e-01]
 [-1.18849723e+00 -2.74467980e-01 -3.75853525e-01  5.60677238e-01]
 [ 1.46880661e-01  1.21011099e-01 -4.62368644e-01  8.00904252e-02]
 [ 1.00494651e+00 -3.04845213e-01  1.83938322e-01  2.83301330e-02]
 [-9.11027958e-01  7.22156926e-02 -3.65406116e-02  2.17615285e-01]
 [-8.36821445e-01  6.64090713e-02  2.22640973e-01 -2.90030305e-01]
 [ 2.14882372e-01 -2.62957871e-02 -6.53385736e-02  1.34094590e-01]
 [-8.84125940e-01 -2.17480145e-01 -2.24430500e-01 -3.22653122e-01]
 [-3.00674724e-01  2.52591952e-01  2.16908182e-01 -5.59921415e-02]
 [ 6.57413468e-02 -5.50209394e-02 -1.07512028e-02  1.47763564e-01]]",0
hamlet_filler.wav,12,"[[ 1.57011812e+01  1.34768636e-01  4.20194471e-01  7.63253828e-01]
 [-9.73274339e+00 -3.99268674e-01  6.68703049e-01  1.06328420e+00]
 [ 5.69944968e-01 -5.44594792e-02 -3.47852941e-01 -7.97922210e-01]
 [-3.76349174e+00  1.50107440e+00 -4.79847277e-01  6.66575360e-02]
 [-1.61502906e+00 -3.25953023e-01  4.33284491e-04  8.66329260e-02]
 [ 1.95196053e-01 -1.25759171e+00 -8.51750819e-01  1.50702921e-01]
 [-9.18871142e-01  2.06019735e-01  3.60820934e-01 -1.32855929e-01]
 [-1.45066804e-01 -2.51562144e-01  1.22866613e+00 -7.91908848e-01]
 [-4.26328683e-01 -2.59565190e-01  4.93997204e-01 -3.21824294e-01]
 [ 4.59364640e-01  5.06674080e-01 -3.28768301e-01 -6.04646168e-02]
 [ 1.65947437e+00 -3.66476231e-01 -5.85206049e-01 -3.12567325e-01]
 [-6.16574763e-01  8.23968676e-02  8.70349584e-02  1.28334787e-01]
 [ 5.12524799e-01 -3.17743729e-01 -8.90569468e-02 -7.43977508e-02]
 [ 3.83143295e-01  5.83096929e-01  1.54307676e-01 -2.36387055e-01]
 [-4.73673235e-01  2.02202065e-01 -2.70477462e-01  2.91450350e-01]
 [-9.03106491e-01 -8.71868954e-03 -8.38974163e-02  1.32946403e-01]
 [ 8.73037714e-02  1.52918631e-01  1.06881241e-01 -2.70508070e-01]
 [-4.02768466e-01  3.10034181e-01 -1.25996255e-01  2.47422414e-01]
 [-1.17884725e-01 -5.78312715e-01 -2.18881107e-01 -8.00874452e-02]
 [-4.52594608e-01  1.40466059e-01 -1.39304371e-01  1.48238182e-01]]",0
hamlet_filler.wav,13,"[[ 1.30039366e+01  2.09707497e+00 -2.38889775e-02  1.39415428e-01]
 [-1.12824839e+01  2.07447178e+00 -1.77270689e-01 -1.91575977e-02]
 [ 1.63217119e+00 -1.78803497e+00 -1.46082463e+00  9.77155928e-02]
 [-1.64670661e+00 -1.14616828e+00  5.88085510e-01  7.34913125e-01]
 [ 4.07323406e-01 -8.85161391e-01  1.56924424e+00 -4.85020315e-01]
 [ 1.03402443e+00 -4.61827807e-01  4.71477020e-01 -4.36007297e-01]
 [-1.83407635e+00  3.18420614e-01 -1.35141254e-01  4.99538332e-02]
 [-4.56882853e-01 -6.49165869e-01 -1.20812546e+00 -3.15814650e-01]
 [-1.76865152e-01 -7.99585102e-01  5.23939920e-01  2.37958769e-01]
 [-5.71675520e-01  8.13485047e-01 -2.69657322e-01  3.59965620e-01]
 [ 1.48169100e+00 -3.30041767e-02 -2.79695652e-01 -5.25392002e-01]
 [-1.43106650e+00  6.57658588e-01  3.65177875e-02 -3.70971083e-01]
 [-9.94383509e-03  1.49133316e-01 -1.83139147e-01 -5.18501923e-02]
 [ 6.85984622e-01 -1.20625345e-01  3.29223437e-01  2.77465136e-01]
 [-2.19141447e-01 -2.12914600e-02 -1.53990615e-02 -6.93103429e-02]
 [-3.57822680e-02 -2.56763525e-01  2.34344154e-01  8.92688574e-02]
 [-1.53353884e-01  2.10963601e-01  1.08379686e-01  2.00349354e-01]
 [ 2.34806648e-01 -2.58255375e-01 -1.61463508e-01  4.42636695e-02]
 [-4.25744306e-02 -2.95388294e-01  1.19996915e-02 -7.55113482e-02]
 [-6.19385089e-01  3.94063689e-01  4.13942622e-02  1.17765441e-01]]",0
hamlet_filler.wav,14,"[[ 1.28187644e+01  2.99843113e-01  5.64414124e-02  1.48877111e-01]
 [-1.25224490e+00  6.34272987e+00  2.03282709e-01  4.08964212e-01]
 [-1.26051166e+00 -1.12354153e+00  1.95534406e+00  3.49641786e-01]
 [-3.72535347e+00 -3.68512176e-01 -1.41185219e+00  3.91332039e-01]
 [ 1.01596886e+00 -8.35661351e-01 -5.97181138e-01  1.00208376e+00]
 [-2.78055822e+00 -1.07529651e+00  1.10510404e+00  7.48366116e-01]
 [-3.39896118e-01  3.55490848e-01 -5.13865402e-01 -4.31361866e-01]
 [ 5.54661045e-03 -5.69943777e-01 -1.55429894e-01 -7.55286931e-01]
 [ 6.13472979e-01 -7.19515304e-01 -1.94016828e-01  4.06935568e-01]
 [-8.45467161e-02 -6.99555668e-01 -5.46671212e-01  1.38631419e-02]
 [ 3.71639429e-01 -8.94838392e-02  8.24296444e-01 -4.23085695e-01]
 [-1.18165386e+00  6.63718337e-01  5.74195913e-01 -7.60688996e-01]
 [-1.56788001e-01 -1.83717439e-02 -1.21093261e-01 -8.14538186e-01]
 [ 3.49558524e-01 -7.32627787e-01  9.83981406e-02 -6.36422195e-02]
 [-6.96766256e-01  1.46016135e-01 -2.00837256e-01 -4.00612064e-02]
 [-9.46535029e-01 -1.39073095e-01 -8.27194420e-02 -2.17496528e-01]
 [ 3.05912689e-01 -5.09602495e-01 -4.32281701e-01  6.79646123e-02]
 [-1.25719854e+00 -1.38747881e-01 -9.91222698e-02 -1.16919503e-01]
 [-9.99409213e-01 -3.38918660e-01 -2.67574857e-01  3.25083456e-02]
 [-7.99401491e-01 -4.48946490e-01 -1.94417269e-01  5.25444377e-02]]",0
hamlet_filler.wav,15,"[[ 1.00326610e+01  9.32653838e-01 -5.07376298e-02 -4.44786072e-02]
 [-8.15459841e+00  9.70868391e-01  3.49948225e-03 -1.56144112e-02]
 [ 7.81418236e-01 -4.53854732e-01  2.21672588e-01 -5.82823803e-02]
 [ 5.77861838e-01 -5.01957236e-01 -6.39692595e-02  7.17222372e-02]
 [-1.85542074e+00  1.12418336e-01 -2.06714933e-01 -1.13601363e-01]
 [-1.22460348e+00 -5.82321338e-02  2.59107001e-02 -5.92384013e-02]
 [-1.65350679e-01  2.19104895e-01 -9.06616251e-02  1.57785150e-01]
 [ 9.49489762e-01 -1.83595255e-01  9.20397587e-02 -3.85617325e-02]
 [ 8.11178166e-01 -6.37801447e-01 -1.39353826e-01 -5.66190664e-03]
 [-2.33706811e-01 -1.33189796e-01 -1.49722922e-01  5.39816066e-02]
 [ 5.03784091e-02 -2.49172574e-01 -5.49017176e-02 -1.30650310e-01]
 [ 3.92770695e-02  2.01267011e-01  1.60600520e-01  1.30289689e-02]
 [ 4.13734551e-01 -2.07665727e-02  5.22588587e-02  8.36746453e-02]
 [ 4.17548581e-02 -1.39773479e-01  9.89008302e-02  2.16972477e-02]
 [-7.00794009e-01 -1.16746529e-01 -8.65620865e-02  1.57692095e-02]
 [ 8.57327970e-02  8.08524885e-02  4.01096430e-02  1.65199815e-01]
 [-3.23468626e-01 -1.68033489e-01  5.04308615e-02  5.33937618e-03]
 [-9.79592055e-01  1.52785457e-01  8.43508624e-02 -7.24084818e-02]
 [ 1.76289241e-01  1.24893723e-01  6.99270620e-02  3.63347814e-03]
 [-3.22241082e-01 -1.31720897e-01 -5.70771666e-02 -5.33341407e-02]]",0
hamlet_filler.wav,16,"[[ 1.82345478e+01  2.31179539e+00  1.31094134e-01  1.59422575e-01]
 [-1.18705287e+01  3.25712746e+00  1.02241191e-01  2.55734965e-01]
 [ 5.63426263e-01 -1.40769889e+00  4.82857471e-02 -4.03840863e-01]
 [-2.96337037e+00 -1.47842487e+00  1.36449655e-01  1.81606234e-01]
 [-2.96157171e-01 -1.28832643e+00 -1.81306960e-01  4.08975521e-01]
 [ 1.02939961e+00 -1.37082963e+00 -3.15313699e-01  1.67329303e-01]
 [-3.04332227e+00  6.92054198e-01  7.41270646e-02 -1.18660790e-01]
 [-7.29859793e-01 -6.46359262e-01  4.82898392e-01 -1.78654646e-01]
 [ 7.88622961e-01 -1.50679237e+00  2.86689595e-01  2.89201870e-01]
 [ 5.66010948e-01  1.17792794e+00 -2.22715002e-01 -1.60280888e-01]
 [ 1.40118676e+00 -3.55297401e-01 -3.82331183e-01 -9.11544786e-02]
 [-2.99766499e+00  1.11920295e+00 -2.29187951e-01 -1.39710456e-01]
 [ 7.86304594e-02  9.02211433e-02 -2.65129445e-02 -5.86271212e-02]
 [ 1.03162801e+00  4.48562037e-03 -5.30780008e-02 -1.34806152e-01]
 [-8.33615783e-01  3.22084569e-01  1.80288937e-01 -8.14653347e-02]
 [ 1.80416308e-01 -1.21438917e-01 -7.58715513e-02 -1.41366030e-02]
 [-1.03130451e-02 -1.48095295e-01  6.13809261e-02 -1.04138990e-01]
 [-3.53283348e-01 -2.39330788e-01 -1.28139255e-01  1.11940093e-01]
 [-4.45579548e-01 -1.39922829e-01 -9.34264179e-02 -9.38534176e-02]
 [-3.30174138e-01 -2.72382578e-01  2.04427323e-01  5.11917891e-03]]",1
hamlet_filler.wav,17,"[[16.81075175 -0.26974613  0.15657367  0.16985072]
 [-0.37013766  5.67813494 -0.2266788  -0.03430582]
 [-2.56026559 -1.29247646  0.19975416 -0.19940912]
 [-3.82444867  0.18836554 -0.30828771  0.36494435]
 [ 1.42246086  0.06550505 -0.34277045 -0.15291917]
 [-4.44155523 -0.61798153  0.5788567   0.61035412]
 [-0.22348491 -0.05805847 -0.61424722  0.28663967]
 [-1.03846027 -1.6716782  -0.72935898 -0.09020179]
 [ 0.07202165 -0.47175117 -0.06969098  0.56484699]
 [-0.24176727 -0.89175127 -0.25345927  0.08119704]
 [-0.15729057 -0.42693782  0.19086406 -0.02192349]
 [-1.54880567  0.35782509  0.4589684  -0.12876804]
 [-0.0789293  -0.65356538 -0.13104492 -0.44165887]
 [ 0.06398125 -0.65425275  0.31484331 -0.13491919]
 [-0.43883798  0.83476185  0.73059953  0.05682828]
 [-1.0949076  -0.10458255  0.44772765 -0.29349595]
 [-0.13633537 -0.09694936 -0.05246535 -0.45878213]
 [-1.1644393  -0.07300013 -0.07011344 -0.35926753]
 [-0.378815    0.05508731 -0.10756287  0.03395978]
 [-0.67073514  0.10305144 -0.17250749  0.14703014]]",0
