Original File,Chunk Number,Featured Wave,is Filler
honorcode_filler.wav,0,"[[ 1.43717561e+01  1.27951773e+00 -7.31737477e-01  1.64770727e-01]
 [-1.07984072e+01  2.00648175e+00 -9.14277533e-02  1.03360706e-01]
 [ 2.96088975e+00 -1.01557247e+00  1.23248925e+00  8.06783747e-02]
 [-2.75495995e+00 -1.44930987e+00 -2.52854211e-01  2.55866199e-01]
 [-2.03901315e+00 -1.58087606e+00 -1.05822185e+00 -1.04349428e-01]
 [ 1.99558474e+00  5.10228202e-02  4.77146601e-01 -3.83106351e-01]
 [ 1.19025743e-01  9.97908097e-01  5.21329294e-01  2.31257920e-01]
 [-8.36337085e-01 -5.02332746e-02  3.46086444e-01 -5.50669228e-02]
 [ 1.74284580e+00 -2.84837301e-01  4.60086856e-01 -3.38470779e-01]
 [-1.06258085e+00  3.48267748e-01 -5.03884412e-01 -1.93089398e-01]
 [-3.58300111e-01  6.01015298e-01 -1.91695514e-01 -2.13340360e-01]
 [-4.70620302e-01  6.42867727e-01  1.67687799e-01 -2.38881977e-01]
 [-2.30680591e-01 -5.47221847e-02  2.86761579e-01  5.23171145e-01]
 [-5.51580480e-01 -9.17971380e-01 -4.08686894e-01  5.08929190e-02]
 [-9.59587134e-01  1.54630356e-01 -3.83856053e-01  6.36425993e-02]
 [ 1.00850891e+00 -4.11651555e-01  9.27425481e-02  5.90403214e-02]
 [-1.09278618e+00 -5.75380272e-01  1.04991305e-01 -8.32803269e-03]
 [-1.93217442e-01  5.32402975e-02  4.13274748e-02  1.84288603e-01]
 [ 5.02307729e-01 -5.67674112e-02  1.77192689e-01 -9.79625831e-02]
 [-1.35284833e+00  2.62369938e-01 -2.85477670e-01 -8.43736834e-02]]",0
honorcode_filler.wav,1,"[[ 1.54908408e+01 -4.07545449e-01 -3.49890257e-01 -6.56028843e-02]
 [-1.24888953e+01 -5.28718677e-01 -3.38937537e-01 -7.22853623e-02]
 [ 1.94719384e+00 -1.44970114e-02  4.03103281e-01  9.23307731e-02]
 [-1.42175596e+00  2.23986853e-01 -3.18794334e-01  5.43993136e-02]
 [ 9.09533842e-01 -1.94733737e-01  2.51553237e-01 -1.89519974e-01]
 [ 1.08938444e+00  4.90372290e-01 -8.86972992e-02 -1.11427355e-01]
 [-1.61495307e+00  3.06721827e-02  1.09169162e-02  1.88255886e-01]
 [-1.59094967e-01  1.02661594e-02  1.83635553e-01 -1.81728113e-01]
 [ 1.14308422e+00  6.13597542e-01 -1.30687822e-01 -1.03466146e-02]
 [ 3.55995012e-01 -3.63024466e-01  2.29978356e-02  1.16632353e-01]
 [-1.55054973e+00  2.49604620e-01  1.06691318e-01 -3.31252242e-02]
 [-1.52734421e+00 -4.30010056e-02 -2.01894134e-04 -1.69643721e-01]
 [-2.34219457e-01  1.02550121e-01  3.38000925e-02  1.96184076e-01]
 [-9.84703833e-01  1.26381531e-01  3.56841016e-02 -5.09078491e-02]
 [-7.55793949e-01  9.13023870e-02 -1.59886033e-02 -7.78661393e-02]
 [ 9.18011869e-01 -1.54691754e-02 -6.24504755e-02  1.87802061e-01]
 [-2.18094555e-01 -3.04522547e-01  1.40784376e-01 -4.10578396e-02]
 [-9.31345218e-01  3.09643355e-01 -4.91717431e-02  6.19812200e-03]
 [ 6.92328704e-01 -2.18116507e-01  2.60694337e-01  7.97372034e-02]
 [-6.59622468e-01 -1.58748464e-01 -9.50410820e-02  8.19712894e-02]]",1
honorcode_filler.wav,10,"[[ 1.27383789e+01  1.28027477e-01 -4.90869834e-03 -9.45153669e-02]
 [-5.16523628e+00  8.47312642e-01  2.66896489e-01 -8.20777638e-03]
 [-7.87275680e-01 -3.32907800e-01  2.23565096e-01 -3.06653202e-01]
 [-5.47700917e+00 -5.24581642e-01 -2.07227780e-01  4.47403940e-03]
 [-2.75317540e+00 -2.36228444e-01 -4.19088214e-02 -7.72908609e-02]
 [ 1.32697397e+00 -4.01022144e-01  2.36745068e-01  4.50686400e-01]
 [ 1.03331765e+00 -2.21416355e-02 -5.89735818e-02 -8.63443853e-02]
 [-3.23850233e-01  6.02205342e-01 -1.89090681e-01  4.99549253e-02]
 [ 9.34248424e-01 -3.76547937e-01 -2.35149876e-02 -6.94177459e-02]
 [-3.61565565e-01  1.98358289e-01 -1.61614918e-01 -7.10666975e-02]
 [ 6.54913261e-01 -1.40601616e-01 -3.33372559e-01  7.93455507e-02]
 [ 8.59160912e-01  1.28974060e-01  2.29304367e-01 -4.43478960e-02]
 [-1.16582341e+00  2.34333960e-01  7.19299784e-02  3.17411435e-04]
 [-3.24307738e-01 -3.12617438e-01  3.74566907e-01 -2.86136274e-02]
 [ 8.76311137e-01  2.91668322e-01  4.07740876e-02  1.99700343e-01]
 [-8.74465430e-02  8.88057486e-02 -1.75584284e-01 -7.13765216e-02]
 [-1.06784043e+00 -2.84781823e-02  4.55815666e-02 -1.11358503e-01]
 [-2.91773893e-01 -9.10399153e-02  1.04830026e-01  5.66478626e-02]
 [ 1.66403184e-01 -6.31475735e-02 -4.36800974e-02  7.61788959e-02]
 [-7.84403115e-01  9.62848691e-03 -3.54317175e-01  5.18871543e-02]]",0
honorcode_filler.wav,11,"[[ 1.25622937e+01 -6.22484654e-01 -1.30610835e-01 -9.10479379e-02]
 [-8.96510894e+00 -7.32647422e-01 -1.94932197e-01  2.48782820e-02]
 [ 1.72586736e+00  9.85860101e-01  3.38819014e-01  2.02727415e-01]
 [-2.34465292e+00  6.24996792e-02  1.53375856e-01 -1.78867761e-01]
 [-2.10511929e+00  1.91603308e-01  7.74487692e-02 -1.54849563e-01]
 [ 1.06769929e+00  4.18601958e-01 -8.81407799e-02  6.40840374e-02]
 [-4.97753915e-02  3.73584181e-01 -3.05865982e-01  3.21619136e-02]
 [-1.94274446e-01  1.72006457e-01  1.10313192e-01  1.93468205e-02]
 [ 6.85674282e-01 -5.37661970e-01 -1.10341023e-01  1.77484421e-01]
 [-3.55228675e-01 -7.94461217e-01  1.68996733e-01  7.88376989e-02]
 [-6.30181622e-01  5.74899560e-01 -1.18641942e-01 -4.83518181e-02]
 [-6.77417368e-01  1.81051651e-01 -1.93339914e-01  1.68345767e-03]
 [ 1.29925097e-01 -5.29532353e-01  2.27513862e-01  2.64754100e-02]
 [-2.80121234e-01 -3.24944867e-01 -6.53042713e-03  6.23783792e-02]
 [-3.85000390e-01  3.38845652e-01 -9.73313688e-02 -4.25132499e-02]
 [ 4.81153067e-01  6.34875295e-01 -1.36651836e-01 -2.92759839e-02]
 [-3.40262429e-01  1.34331416e-02  1.61535305e-01 -1.06666146e-01]
 [-4.17865576e-01 -1.51473333e-01  9.69517406e-02 -8.35719595e-02]
 [ 2.69907015e-01 -5.50114082e-02 -8.46382348e-02  7.60416088e-02]
 [-1.77511510e-01 -1.99043760e-01  1.32070068e-01 -3.09550253e-02]]",0
honorcode_filler.wav,12,"[[ 1.22513868e+01 -4.45239954e-01  3.03189879e-01 -9.79484587e-03]
 [-1.18309999e+01 -2.49542782e-01  2.96294615e-01  5.47250793e-02]
 [ 3.69690157e+00  6.73791160e-01 -7.56626110e-05  1.57031278e-01]
 [-1.78039571e+00  4.09009724e-01 -2.09031295e-01 -1.46959654e-01]
 [ 3.06837559e-01  6.97290953e-01  1.25926824e-01 -7.11065797e-02]
 [ 1.42622477e+00  2.30408372e-02 -1.65837775e-01  6.58744836e-02]
 [-7.06993338e-01 -1.31592147e-01  1.28323057e-01  2.12468230e-02]
 [ 3.86894599e-01 -5.12870239e-01 -2.14653013e-01 -2.58914973e-02]
 [ 9.45241984e-01 -4.06376496e-01 -1.67111021e-01 -6.45772038e-02]
 [ 1.22761738e-01  3.49021612e-01  1.73885959e-01 -6.42730919e-02]
 [-1.64593950e+00 -1.36911599e-01 -1.01452584e-01  8.57640638e-02]
 [-1.14181161e+00 -3.71968259e-01  1.27308230e-01  1.87792672e-02]
 [-3.39012782e-01 -1.09807398e-01 -4.13256037e-02  6.35528631e-02]
 [-8.65922549e-01 -2.86129853e-02 -1.44225922e-01 -1.34205317e-02]
 [-3.80411730e-01  1.94940213e-01  1.56445552e-01 -1.24521900e-01]
 [ 5.72152897e-01  2.69752086e-01 -1.46140569e-01  7.00462514e-02]
 [-4.42864419e-01  5.72685757e-02  1.05424260e-01  2.42222006e-02]
 [-5.86585223e-01 -3.07959130e-01 -5.59378541e-02 -8.43222526e-02]
 [ 4.66979258e-01  4.56896987e-03 -1.66996912e-01  1.44190828e-02]
 [-4.54444436e-01  2.21968578e-02 -4.01016491e-03  2.92061648e-02]]",1
honorcode_filler.wav,13,"[[ 1.65500611e+01  2.30452126e+00 -2.52943168e-01  2.78172310e-02]
 [-1.05892245e+01  3.29389307e+00  7.58565932e-01  7.77037649e-02]
 [ 1.46886235e+00 -2.66766909e+00  4.20241906e-01  6.32467398e-01]
 [-5.07508829e+00 -9.84158079e-01 -1.42450144e+00 -6.50477325e-01]
 [-4.10466752e+00  4.42910242e-01 -7.75511929e-01  1.06277034e+00]
 [ 4.99437243e-01 -9.50287635e-01  1.53624664e+00 -1.21398600e-02]
 [ 1.80436155e+00 -1.38744625e-01 -2.03277643e-01  4.19577475e-01]
 [ 9.33020300e-01 -6.65319858e-01 -1.38046389e-01 -8.73441378e-02]
 [ 1.09118119e+00 -3.87355382e-01  4.10204204e-01 -3.24068992e-01]
 [-4.83870449e-01 -2.56331993e-02  3.25124651e-01 -1.35679587e-01]
 [ 9.76178005e-02  2.99769340e-02  7.21482577e-02 -1.04591978e-01]
 [ 8.85396199e-01 -5.13641838e-01 -1.27064719e-01 -1.29054855e-01]
 [-6.36947988e-01 -3.72127312e-03 -3.45193358e-02 -2.08726349e-01]
 [-9.83573079e-01  1.96301973e-02 -8.40323638e-02 -2.25945937e-01]
 [ 1.01653784e-01 -8.52735813e-02  2.99754011e-01 -2.80325084e-01]
 [ 2.65528809e-01  3.34565390e-02  1.27323214e-01 -6.29741619e-02]
 [-7.38602695e-01  2.29029062e-01 -5.63863121e-01  2.35302170e-01]
 [-6.37587000e-01 -3.09345769e-02  1.95247079e-01 -9.37793399e-02]
 [-2.32688805e-02 -2.55125259e-01  1.04478687e-01 -4.52144798e-02]
 [-4.24289859e-01  3.54447089e-01 -6.45574470e-01 -9.53162958e-02]]",0
honorcode_filler.wav,14,"[[ 12.73860291  -2.56280533   0.08836304  -0.01466099]
 [-11.85702081  -2.01612932  -0.45980915  -0.16044095]
 [  3.24910622   2.77618699  -0.23702467  -0.21572298]
 [ -2.56701096   0.60588872   0.9876533    0.01417229]
 [ -1.77688191   0.5739651    0.61311426   0.08527463]
 [  1.41231179   1.04143165  -0.57737166  -0.09958058]
 [  0.82357666  -0.29969305  -0.58444345  -0.39483917]
 [ -0.13859673   0.23840523  -0.75106178   0.4145074 ]
 [  0.50262449  -0.4264506    0.38637272   0.07915652]
 [ -1.12408472  -0.64837124   0.59880756  -0.02550496]
 [ -0.21268483   0.04738454  -0.79464078   0.49948289]
 [ -0.48842052   0.13801952   0.20327979  -0.27438611]
 [ -0.3405764    0.45851195   0.122973     0.47617573]
 [ -0.61471317   0.05054151   0.48115521   0.27197815]
 [ -0.04561621   0.27881484  -0.07243959  -0.46739227]
 [  1.09536883   0.44987025  -0.30644916  -0.05676373]
 [ -0.26679866  -0.13832028   0.23027735   0.19105833]
 [ -0.3221857   -0.04277678   0.16714401  -0.08341078]
 [  0.30733962   0.1885597    0.24725567  -0.1392705 ]
 [ -0.37433989  -0.71303338  -0.34315567  -0.09983294]]",0
honorcode_filler.wav,15,"[[ 1.08362735e+01  9.07762816e-01 -1.22839842e-01 -7.55960977e-02]
 [-9.83820924e+00  8.72198064e-01  6.03363183e-02  6.84965666e-02]
 [ 2.65911886e+00 -8.02849496e-01  2.03537429e-01  2.09199310e-01]
 [-2.32993528e+00 -5.05821515e-01 -6.26818079e-01 -6.87558384e-02]
 [-1.99432181e+00 -1.56497817e-01  4.34453680e-01 -2.37613827e-01]
 [ 1.04590298e+00 -2.16042502e-01  1.67776320e-02  3.53702282e-01]
 [ 2.99167515e-01  7.63818649e-02  1.37019938e-01  1.26039679e-01]
 [ 9.36903471e-01 -1.42689064e-01  6.73209968e-01 -1.69947896e-01]
 [ 8.44826606e-01 -1.28282799e-01 -4.46592104e-04 -1.44240150e-01]
 [-5.43721102e-01  1.56910523e-01 -7.67462791e-02 -4.12732402e-02]
 [-3.36734277e-01  2.76043363e-01  2.54617347e-01  1.77921380e-01]
 [ 7.22523284e-02  1.59652527e-01 -1.78895454e-02  2.08597041e-01]
 [-2.70470468e-01 -6.14398026e-02  1.77200001e-01 -1.42698046e-01]
 [-6.15892856e-01 -2.70245301e-02 -1.97837932e-01 -3.16820107e-01]
 [-3.58252933e-01  1.79918700e-01 -2.58463812e-01  6.27137005e-02]
 [ 1.29948520e-01 -5.10671322e-02 -9.05614304e-02  9.32281456e-02]
 [-1.16253655e-01 -3.41643960e-01  8.90852483e-02 -4.00182976e-02]
 [-2.74812777e-01 -1.64145230e-01 -2.26711934e-01  2.95931723e-03]
 [ 1.61858555e-01 -1.20138120e-01 -4.09884739e-01 -1.04241239e-01]
 [-3.07647971e-01  8.87741118e-02 -1.80373750e-02  3.83473183e-02]]",0
honorcode_filler.wav,16,"[[ 9.77443912e+00 -1.18996747e+00 -2.51021268e-01  3.93620677e-02]
 [-8.28121492e+00 -9.78397955e-01 -4.88388100e-01  8.67145261e-02]
 [ 7.29286761e-01  1.84659426e+00 -3.29391243e-01  5.53085944e-02]
 [ 1.37822014e-02  4.15880358e-01  6.81922963e-01  1.86410887e-01]
 [-9.72346202e-01 -2.61482418e-01  7.30124304e-01 -1.60812332e-01]
 [-4.37583552e-01 -3.53911860e-01  2.53673304e-02 -1.22243206e-01]
 [ 1.65346472e-01 -1.81104576e-01 -2.61219806e-01 -5.09149018e-02]
 [ 1.26688616e+00  6.62533670e-01 -2.62859379e-01 -1.57119896e-01]
 [ 4.93755431e-01  3.63798777e-01 -1.57180346e-01 -5.27227374e-03]
 [-5.28071718e-01 -1.63761289e-01  1.89872499e-01 -5.64782721e-03]
 [-3.57716834e-02 -1.24360583e-01  2.83134401e-01  1.31629721e-01]
 [ 3.57299326e-01 -4.67734550e-02 -1.64856743e-01  2.88508550e-01]
 [-1.52767388e-01  8.85429329e-02 -2.78032730e-01 -1.64529129e-01]
 [-9.92967511e-01 -2.93982914e-01  6.17001111e-02 -2.09180068e-01]
 [-3.28876914e-01 -2.28664319e-01  4.83845329e-02  1.81496571e-01]
 [ 2.62198771e-01  2.82440682e-01 -9.36473825e-02  5.79658831e-02]
 [-8.36834764e-01 -1.43864742e-01 -5.19118736e-02 -3.74166289e-02]
 [-3.58305389e-01 -5.74357226e-02  2.63521820e-02 -1.15770840e-02]
 [ 3.77980759e-01  3.61649034e-01  1.78851511e-01 -9.78577981e-02]
 [-5.16234962e-01  2.26758387e-03  1.12799034e-01 -4.82565519e-03]]",0
honorcode_filler.wav,17,"[[ 1.71814784e+01 -1.56339140e+00  2.89187556e-01 -4.64608579e-01]
 [-1.53791940e+01 -1.37146375e+00 -5.74419045e-04 -3.66840098e-01]
 [ 4.93817055e+00  1.41579749e+00 -9.05130039e-01  1.06790264e-01]
 [-2.90101604e+00  9.19031942e-01  9.09404888e-02 -2.84650742e-01]
 [-1.01312210e+00  1.76600307e+00  1.21933231e+00 -3.85583228e-01]
 [ 1.68304653e+00  4.28944449e-01 -5.76321902e-01  1.60665694e-01]
 [-8.54597776e-01 -2.52926447e-01 -5.24963522e-01 -1.10781114e-01]
 [ 6.26264267e-01  1.92899883e-01  3.72500718e-01  6.77289750e-01]
 [ 5.95225753e-01 -3.02625697e-01  7.72509525e-01  5.82902497e-01]
 [ 1.09966910e-01  4.17274152e-02  8.59290463e-01 -8.87434862e-02]
 [-1.35591383e+00 -4.28300236e-01 -5.09864823e-01  2.01704264e-01]
 [-1.67661504e+00 -2.80457712e-01 -2.88192615e-01  4.71892431e-02]
 [ 2.67304756e-02 -1.54285774e-01  1.31004573e-01  3.22523763e-01]
 [-7.13681836e-01 -4.88485142e-01  1.55020859e-01  5.86171846e-02]
 [-1.02916914e+00  1.50437258e-01 -4.20953165e-01 -3.65323181e-01]
 [ 1.04779161e+00  5.68859438e-01 -7.11112873e-01 -2.56135738e-01]
 [-4.29370880e-01 -2.14643325e-01  2.82907764e-01 -3.47016642e-02]
 [-7.76925980e-01 -3.38110845e-01 -3.03675955e-01  3.78226653e-01]
 [ 4.99084500e-01  9.92225287e-02 -9.79627662e-02 -6.99025583e-02]
 [-5.78152375e-01 -1.88233144e-01  1.66057818e-01 -1.08638925e-01]]",1
